title,id,stage,creation,creator,activity,actor,nosy,type,components,versions,dependencies,assignee,keywords,priority,status,resolution,nosy_count,message_count
"add ""Name Collision"" section to argparse docs",15428,None,2012-07-23.00:00:31,2074,2014-08-07.23:27:58,14858,"['2074', '12260', '14858']",6,['4'],"['14', '18', '19']",[],12260,[],4,1,None,3.0,2.0
find_executable fails to find .bat files on win32,2200,4,2008-02-28.13:52:12,5293,2014-08-10.19:54:28,12545,"['8', '2984', '3108', '4555', '5293', '7641', '12434', '17248']",5,"['3', '15']","['14', '18', '19']",[],7641,['2'],4,1,1,8.0,17.0
unittest warnings counter,18381,4,2013-07-06.12:37:39,3080,2014-08-13.14:02:20,2040,"['2040', '3080', '3924', '7047', '9716', '14674']",6,['9'],['19'],[],9716,"['2', '8']",4,1,None,6.0,6.0
Add a section to Windows FAQ explaining os.symlink,10608,3,2010-12-02.18:42:11,10080,2014-08-13.14:46:22,17643,"['10080', '11041', '14318', '17643']",5,"['4', '15']","['14', '18', '19']",[],10080,['2'],4,1,None,4.0,2.0
"filecmp.cmp's ""shallow"" option",1234674,4,2005-07-08.09:01:20,2309,2014-08-14.05:09:22,14674,"['12', '93', '114', '2307', '2309', '11727', '12075', '17868', '19956']",5,['9'],['19'],[],12,['2'],4,1,None,9.0,12.0
Add pathlib.chown method,20779,None,2014-02-26.09:51:50,17937,2014-08-15.22:32:16,10148,"['2040', '10148', '12146', '17937']",6,['9'],['19'],[],None,['2'],4,1,None,4.0,4.0
pdb-run-restarting-a-pdb-session,22210,None,2014-08-16.04:44:22,20046,2014-08-16.20:32:07,5248,"['5248', '20046']",5,[],['14'],[],None,[],4,1,None,2.0,2.0
"disallow the ""surrogatepass"" handler for non utf-* encodings",13916,None,2012-01-31.23:51:10,15417,2014-08-17.15:19:53,15623,"['8', '2377', '7047', '13902', '15417', '15623']",6,['14'],['19'],[],2377,['2'],4,1,None,6.0,20.0
ZipFile.writestr writes incorrect extended local headers,1742205,2,2007-06-23.19:07:40,2769,2014-08-19.10:05:53,15623,"['1076', '1488', '2769', '3250', '15467', '15623']",5,['9'],"['14', '18', '19']",[],15623,[],4,1,None,6.0,4.0
wsgiref doesn't appear to ever set REMOTE_HOST in the environ,22229,3,2014-08-19.17:34:05,9612,2014-08-20.13:30:32,14674,"['688', '9612', '14674']",5,['9'],"['18', '19']",[],None,[],4,1,None,3.0,1.0
argparse not including '--' arguments in previous optional REMAINDER argument,22223,None,2014-08-18.09:46:02,13463,2014-08-20.13:47:19,13849,"['13463', '13849']",5,['9'],"['14', '18']",[],None,[],4,1,None,2.0,2.0
Improve display of OS exception <-> errno mapping,22014,3,2014-07-20.07:00:24,1309,2014-08-20.14:09:13,37,"['37', '1309', '7047', '7641', '12260', '20028']",6,['4'],"['18', '19']",[],12260,"['2', '6']",4,1,None,6.0,8.0
Run Tkinter tests with wantobjects=False,21585,3,2014-05-26.20:53:59,15623,2014-08-23.19:49:02,15467,"['155', '4698', '11041', '15467', '15623', '19178']",6,"['12', '13']",['19'],['22236'],15623,"['2', '8']",4,1,None,6.0,11.0
Wave.py support for ulaw and alaw audio,1483545,3,2006-05-07.23:23:39,3701,2014-08-25.07:32:51,3701,"['1076', '3701', '15623']",6,['9'],['14'],[],None,['2'],4,1,None,3.0,5.0
"Rearrange tkinter tests, use test discovery",22260,4,2014-08-23.20:10:39,15467,2014-08-25.18:16:56,15623,"['155', '15467', '15623']",6,"['12', '13']","['14', '18', '19']",['22236'],None,['2'],4,1,None,3.0,5.0
Add a resource for CLI tests,22263,None,2014-08-24.06:47:43,15623,2014-08-26.06:31:09,15623,"['2040', '7047', '9716', '15467', '15623']",6,['12'],"['14', '18', '19']",[],None,[],4,1,None,5.0,3.0
read() vs read1() in asyncio.StreamReader documentation,22279,None,2014-08-26.18:36:38,20079,2014-08-27.17:45:18,5,"['5', '2377', '16198', '20079']",5,['30'],['18'],[],None,[],4,1,None,4.0,8.0
webbrowser.py add parameters to suppress output on stdout and stderr,22277,None,2014-08-26.13:06:36,20078,2014-08-28.16:16:58,12270,"['93', '2040', '3947', '9663', '12270', '20078']",6,['9'],['19'],[],None,['2'],4,1,None,6.0,10.0
ipaddress module accepts octal formatted IPv4 addresses in IPv6 addresses,22282,None,2014-08-27.09:33:26,20080,2014-08-29.01:33:52,14674,"['1309', '2040', '9293', '20080']",5,[],['18'],[],None,['2'],4,1,None,4.0,2.0
doctest _load_testfile function -- newline handling seems incorrect,1812,4,2008-01-12.05:57:33,4533,2014-08-30.04:25:06,155,"['1427', '4533']",5,['12'],"['14', '18', '19']",[],None,"['2', '6']",5,1,None,2.0,29.0
Make PYLONG_BITS_IN_DIGIT always available to non-core extensions,22313,None,2014-08-31.10:22:00,2153,2014-08-31.10:22:00,2153,"['1118', '2153']",6,['1'],['19'],[],None,[],4,1,None,2.0,1.0
Report actual EOF character instead of assuming Ctrl-D,22310,None,2014-08-30.23:31:56,18773,2014-08-31.14:14:33,18773,"['2377', '18773']",6,['9'],['19'],[],None,[],4,1,None,2.0,4.0
distutils/spawn.py handle fork() not implemented.,22309,None,2014-08-30.21:10:37,18773,2014-08-31.14:22:45,18773,"['5248', '7641', '17248', '18773']",6,['3'],['19'],[],None,[],4,1,None,4.0,4.0
pyconfig.h is not placed in --includedir,896330,3,2004-02-13.08:24:58,957,2014-09-05.19:41:35,20124,"['8', '957', '1655', '3108', '20124']",5,['7'],"['13', '14', '16', '17', '18', '19']",[],None,['2'],5,1,None,5.0,8.0
Add a datatype to represent mime types to the email module,19280,3,2013-10-17.14:13:03,9663,2014-09-05.23:52:54,14751,"['19', '2040', '7047', '9663', '14751']",6,['29'],['19'],[],None,['6'],4,1,None,5.0,3.0
NNTPLib connections become corrupt after long periods of activity,21468,None,2014-05-10.16:23:18,19571,2014-09-07.03:47:32,14751,"['2040', '4692', '9663', '14751', '19571']",None,['9'],"['16', '17', '18']",[],None,[],4,1,None,5.0,4.0
What should happen if someone runs ./python -m ensurepip in the build environment?,20071,None,2013-12-26.17:25:26,9663,2014-09-08.11:51:44,1309,"['1309', '5248', '9663', '17248']",None,[],"['14', '18', '19']",[],None,[],4,1,None,4.0,3.0
Tkdnd mouse cursor handling patch,1525806,4,2006-07-20.10:28:26,2987,2014-09-09.08:55:16,13086,"['8', '2987', '4698', '13086']",6,['13'],['16'],[],8,['2'],5,1,None,4.0,3.0
running a suite with no tests is not an error,18232,None,2013-06-16.19:32:39,3924,2014-09-09.09:03:49,9716,"['155', '3924', '7047', '9716']",6,['12'],['18'],[],None,[],4,1,None,4.0,6.0
tests failing with -uall and http_proxy and https_proxy set,22371,None,2014-09-09.18:00:20,169,2014-09-09.18:04:18,169,['169'],None,[],[],[],None,[],4,1,None,1.0,2.0
Command to display all available Import Library,20506,None,2014-02-04.01:23:14,18960,2014-09-10.05:41:44,14751,"['37', '114', '2040', '4455', '14751', '18960']",6,['9'],['19'],[],None,[],5,1,None,6.0,7.0
Difflib should provide the option of overriding the SequenceMatcher,20752,4,2014-02-23.22:16:56,13206,2014-09-10.07:01:35,12504,"['6', '114', '155', '9663', '13206']",6,['9'],['19'],[],6,['2'],4,1,None,5.0,13.0
Allow site.addsitedir insert to beginning of sys.path,7744,2,2010-01-20.20:19:22,3090,2014-09-10.13:26:44,20138,"['3090', '4165', '14486', '20138']",6,['9'],"['1', '14', '16', '17', '18', '19']",[],None,[],4,1,None,4.0,6.0
Making tempfile.NamedTemporaryFile a class,22387,None,2014-09-11.08:15:45,16370,2014-09-11.15:49:10,16370,"['93', '1309', '2799', '15623', '16370']",6,['9'],['19'],[],None,[],4,1,None,5.0,5.0
resolve() on Windows makes some pathological paths unusable,22299,4,2014-08-29.13:17:08,19820,2014-09-11.19:50:24,16632,"['2040', '3951', '15467', '16413', '16632', '19820']",5,"['9', '15']","['18', '19']",[],None,['2'],4,1,None,6.0,27.0
urllib2.urlopen().read().splitlines() opening a directory in a FTP server randomly returns incorrect result,22376,None,2014-09-09.21:53:40,20140,2014-09-12.22:38:00,155,"['155', '20140']",5,['9'],['14'],[],None,[],4,1,None,2.0,3.0
ipaddress.py new IPv6 Method for Solicited Multicast Address,22418,2,2014-09-15.13:36:07,20153,2014-09-16.15:02:28,2799,"['1309', '2799', '9293', '12146', '20153']",6,['9'],['19'],[],None,['2'],4,1,None,5.0,2.0
test_logging test_race failed with PermissionError,19690,3,2013-11-22.07:31:15,5248,2014-09-18.03:21:06,14674,"['328', '2377', '5248', '13902']",5,['12'],"['18', '19']",[],None,[],4,1,None,4.0,7.0
Not all attributes of the console for a subprocess with creationflags=0 are inherited,22441,None,2014-09-19.12:27:06,12509,2014-09-20.00:21:54,12509,['12509'],5,['9'],['18'],[],None,[],4,1,None,1.0,2.0
2to3 import fixer writes dotted_as_names into import_as_names,22425,None,2014-09-16.21:00:27,18656,2014-09-21.09:09:34,9138,"['4455', '9138', '18656']",5,['20'],"['14', '18']",[],None,[],4,1,None,3.0,1.0
os.getenv() not updated after external module uses C putenv(),1159,None,2007-09-13.07:22:07,4086,2014-09-22.02:44:01,14751,"['8', '155', '1076', '1290', '2552', '4056', '4086', '9138', '12260', '14751']",5,"['4', '9']","['14', '17', '18']",[],12260,[],4,1,None,10.0,14.0
Argparse considers unknown optional arguments with spaces as a known positional argument,22433,None,2014-09-17.15:57:56,20164,2014-09-24.01:00:45,14858,"['2074', '14858', '20164']",5,['5'],['14'],[],None,['2'],4,1,None,3.0,6.0
"asyncio task chapter confusion about 'task', 'future', and 'schedule'",22476,None,2014-09-24.01:34:04,9663,2014-09-24.14:50:01,2377,"['5', '2040', '2377', '3080', '9663', '12260', '16198']",5,"['4', '30']","['18', '19']",[],12260,[],4,1,None,7.0,2.0
The function cygwinccompiler.is_cygwingcc leads to FileNotFoundError under Windows 7,21821,None,2014-06-21.14:35:56,19786,2014-09-24.22:50:58,11883,"['7641', '11883', '17248', '19786']",5,['3'],['18'],[],None,[],4,1,None,4.0,2.0
msiexec not creating msvcr90.dll with python -2.7.6.msi,22497,None,2014-09-25.16:36:49,20192,2014-09-25.19:08:52,16632,"['15467', '16632', '20192']",None,['15'],['14'],[],None,[],4,1,None,3.0,2.0
Fix wsgiref handling of absolute HTTP Request-URI,21472,4,2014-05-11.11:31:53,14250,2014-09-25.20:37:19,3924,"['5', '688', '3924', '14250']",5,['9'],"['14', '18', '19']",[],None,['2'],4,1,None,4.0,5.0
A tp_dealloc of a subclassed class cannot resurrect an object,8212,3,2010-03-23.13:28:30,2217,2014-09-26.11:32:56,2040,"['2040', '2217', '4455', '11255']",6,['8'],['17'],[],None,['2'],4,1,None,4.0,13.0
memoryview: expose 'buf' attribute,15986,3,2012-09-20.17:57:18,11089,2014-09-27.12:51:54,11089,"['1076', '1427', '2040', '11089', '11255', '11758', '14751', '19135']",6,['8'],['18'],[],None,[],4,1,None,8.0,9.0
"configure doesn't find ""major()"" on HP-UX v11.31",11102,3,2011-02-02.20:05:29,11827,2014-09-27.16:25:50,9663,"['8', '11827']",2,['1'],"['14', '18', '19']",[],None,['2'],4,1,None,2.0,6.0
Add discussion of trailing backslash in raw string to tutorial,11479,3,2011-03-13.03:10:02,9663,2014-09-27.16:38:30,9663,"['93', '204', '4161', '7047', '9485', '9663', '9740', '12260', '13894']",6,['4'],"['14', '18', '19']",[],12260,['2'],4,1,None,9.0,8.0
configparser can't parse MySQL style config,21329,None,2014-04-22.15:27:33,18269,2014-09-28.02:12:09,14751,"['9663', '12704', '14751', '18269']",6,['9'],['19'],[],None,[],4,1,None,4.0,3.0
2to3 zip fixer doesn't fix for loops.,20742,None,2014-02-23.11:11:47,9146,2014-09-28.18:55:56,19669,"['1409', '4455', '9146', '19669']",5,['20'],"['14', '18', '19']",[],None,[],4,1,None,4.0,3.0
test.support method for dual-testing accelerated code (fixes test_exceptions and other's pickle testing),9104,3,2010-06-28.16:18:10,1427,2014-09-29.14:23:39,1427,"['1118', '1427', '2040', '3805', '4455', '7047', '9663']",6,['9'],['19'],[],None,['2'],4,1,None,7.0,15.0
__base__ undocumented,22456,None,2014-09-21.22:54:27,9138,2014-09-30.12:59:10,20193,"['5', '114', '9138', '12260', '20193']",6,['4'],"['14', '18', '19']",[],12260,"['2', '6']",4,1,None,5.0,5.0
OSErrors should use str and not repr on paths,22472,3,2014-09-23.20:34:45,9663,2014-10-01.14:41:07,9663,"['2040', '2377', '7047', '9663', '12270', '15623']",5,['15'],"['18', '19']",[],None,[],4,1,None,6.0,10.0
headerregistry.Address introduces extra quotes without addr_spec parameter,22535,None,2014-10-01.21:25:24,20222,2014-10-02.03:20:00,9663,"['19', '9663', '20222']",5,['29'],['19'],[],None,[],4,1,None,3.0,2.0
turtledemo two_canvases reversion,22538,2,2014-10-02.03:51:11,155,2014-10-02.03:51:11,155,['155'],5,[],"['18', '19']",[],155,[],4,1,None,1.0,1.0
AbstractBasicAuthHandler,19402,None,2013-10-26.01:50:04,18527,2014-10-02.10:24:10,12545,"['1741', '18527']",5,[],['14'],[],None,[],4,1,None,2.0,1.0
ERROR: SystemError: ./../Objects/tupleobject.c:118: bad argument to internal function,15108,None,2012-06-19.21:52:13,16175,2014-10-03.17:52:13,2040,"['43', '415', '423', '1076', '2040', '13309', '16175']",5,['5'],"['1', '14']",[],None,[],4,1,None,7.0,10.0
Unchecked PyErr_WarnPy3k return value in Objects/typeobject.c,8627,4,2010-05-05.14:30:55,1118,2014-10-03.17:55:41,1118,"['37', '1118', '1309', '15623']",5,['8'],['14'],[],None,['2'],4,1,None,4.0,19.0
Remove required metadata warnings for sdist,7726,None,2010-01-17.17:13:15,9716,2014-10-04.13:09:25,14385,"['4555', '7641', '9716', '14385']",6,['3'],"['14', '16']",[],4555,[],4,1,None,4.0,3.0
sysconfig and alternative implementations,10764,None,2010-12-23.17:56:22,9716,2014-10-04.13:35:06,14385,"['1076', '4555', '7641', '9138', '9716', '14385']",5,[],['14'],[],None,[],4,1,None,6.0,7.0
Concurrent.futures base concurrency improvement (with patch),20516,4,2014-02-05.02:56:55,18877,2014-10-04.18:21:07,2040,"['486', '2040', '2377', '12146', '12504']",6,['9'],['19'],[],None,['2'],4,1,None,5.0,10.0
doc: ctypes no need to explicitly allocate writable memory with Structure,8481,None,2010-04-21.07:17:05,2984,2014-10-04.21:15:14,14385,"['66', '93', '2984', '12118', '12260']",6,['4'],"['1', '14']",[],66,[],4,1,None,5.0,2.0
libainstall doesn't create $(BINDIR) directory,16866,3,2013-01-05.03:47:30,16652,2014-10-04.22:39:04,9663,"['8', '93', '1741', '9663', '16652']",2,['1'],"['14', '18', '19']",[],1741,['2'],4,1,None,5.0,7.0
Add tests for files byte-compiled by distutils,13473,3,2011-11-24.14:45:10,7641,2014-10-04.23:29:46,9663,"['1309', '4555', '7641', '9138', '9663', '12434', '17248']",None,['3'],"['14', '18', '19']",[],None,['2'],4,1,None,7.0,7.0
TemporaryDirectory does not resolve path when created using a relative path,20267,None,2014-01-15.04:48:28,16370,2014-10-05.00:20:00,16370,"['93', '1309', '2040', '15623', '16198', '16370']",None,['9'],['19'],[],None,['2'],4,1,None,6.0,13.0
Remove unnecessarily random behavior from test_unparse.py,15273,4,2012-07-07.12:29:12,2731,2014-10-05.18:52:18,14674,"['1118', '2731', '4455', '9663', '14674', '17185']",5,['12'],"['18', '19']",[],None,['6'],5,1,None,6.0,5.0
shutil to support equivalent of: rm -f /dir/*,19642,3,2013-11-18.11:45:26,18622,2014-10-06.15:27:32,19,"['19', '2040', '4555', '7641', '9663', '14695', '15623', '18622']",6,['9'],['19'],[],None,[],4,1,None,8.0,4.0
DragonFlyBSD support,21459,None,2014-05-09.09:08:14,11359,2014-10-09.09:40:18,11359,"['37', '415', '11359']",None,['1'],['19'],[],None,['2'],4,1,None,3.0,8.0
Automate update of doc references to UCD version when it changes.,22593,3,2014-10-10.01:11:38,9663,2014-10-10.01:11:38,9663,['9663'],6,[],['19'],[],None,['6'],4,1,None,1.0,1.0
Misc tarfile fixes,14012,3,2012-02-14.16:10:36,7641,2014-10-10.01:28:10,9663,"['1578', '7641', '9663', '15623']",5,['9'],"['14', '17', '18']",[],None,['2'],4,1,None,4.0,11.0
argparser's subparsers.add_parser() should accept an ArgumentParser,17204,3,2013-02-14.07:01:07,12075,2014-10-10.04:35:04,14858,"['2074', '12075', '14858', '18446']",6,['9'],['18'],[],None,['2'],4,1,None,4.0,4.0
Unicodedata module should provide access to codepoint aliases,18234,3,2013-06-17.00:24:18,1427,2014-10-11.17:33:20,13286,"['4', '8', '1427', '4455', '7047', '13286', '15623']",6,[],['19'],[],None,[],4,1,None,7.0,20.0
Idle/tkinter ~x.py 'save as' fails. closes idle,15363,4,2012-07-15.23:17:23,155,2014-10-12.09:53:41,15623,"['8', '155', '7276', '15623']",5,"['6', '13']","['14', '18', '19']",[],None,['2'],4,1,None,4.0,7.0
urllib.parse.parse_qsl different results after urllib.parse.unquote,22618,None,2014-10-12.13:56:21,20269,2014-10-12.15:29:56,20269,"['1741', '9663', '12260', '20269']",5,['4'],"['14', '18', '19']",[],12260,[],4,1,None,4.0,4.0
Indicating packages to be loaded when a Tcl interpreter is created in tkinter,5159,4,2009-02-05.20:08:23,4698,2014-10-14.00:51:40,155,"['4698', '15623']",6,['13'],['19'],[],None,['2'],4,1,None,2.0,2.0
Allow using decimals as arguments to `timedelta`,14262,None,2012-03-12.13:13:07,11519,2014-10-14.15:00:08,11089,"['114', '204', '1118', '1427', '2377', '11519', '11771']",6,['9'],['18'],[],None,['2'],4,1,None,7.0,22.0
"PEP 3121, 384 Refactoring applied to struct module",15671,4,2012-08-15.14:42:58,15796,2014-10-14.15:01:18,11089,"['10303', '15796']",3,['5'],['18'],[],None,"['2', '13']",4,1,None,2.0,3.0
Review and document string format accepted in numeric data type constructors,10581,None,2010-11-29.17:55:50,1427,2014-10-14.15:12:17,11089,"['4', '8', '1118', '1309', '1427', '2377', '2799', '7047', '7641', '10148', '15623']",6,"['4', '8']","['17', '18']",[],1427,[],4,1,None,11.0,16.0
Make bytes() use tp_as_buffer for cmp,20339,4,2014-01-22.00:40:29,83,2014-10-14.15:39:03,11089,"['83', '1309', '11089', '11184', '18917']",6,['8'],['19'],[],None,['2'],5,1,None,5.0,3.0
"PEP 3121, 384 Refactoring applied to xx module",15849,None,2012-09-02.14:32:33,15796,2014-10-14.15:45:55,11089,"['8', '1427', '2040', '12260', '15796']",3,"['4', '5']",['19'],[],12260,"['2', '13']",4,1,None,5.0,14.0
PyOS_mystricmp is broken,22330,None,2014-09-03.09:04:29,20113,2014-10-14.16:06:23,11089,"['2377', '20113']",5,['8'],['18'],[],None,['2'],4,1,None,2.0,5.0
Fix compiler warning when building extension modules on 64-bit Windows,16779,4,2012-12-25.18:38:54,4624,2014-10-14.16:17:41,11089,"['4555', '4624', '7641']",None,"['1', '3']","['17', '18', '19']",[],None,['2'],4,1,None,3.0,2.0
Use __attribute__(cleanup ...) to detect refleaks,19298,2,2013-10-19.14:37:31,37,2014-10-14.16:25:06,11089,"['37', '3108', '5251', '9138', '11193']",6,"['5', '8']",['18'],[],None,[],4,1,None,5.0,2.0
fma documentation should provide better example.,21510,None,2014-05-15.05:19:05,19426,2014-10-14.16:48:33,2040,"['1118', '2040', '11089', '12260', '19426']",6,['4'],"['13', '14', '16', '17', '18', '19']",[],12260,[],4,1,None,5.0,5.0
float related test has problem with Denormal Flush to Zero compiler options,18340,None,2013-07-01.15:51:04,16468,2014-10-14.16:48:53,11089,"['1118', '2377', '2799', '3108', '16468']",5,['12'],['17'],[],None,[],4,1,None,5.0,8.0
Rounding properly,21929,None,2014-07-07.10:35:06,19870,2014-10-14.17:01:02,11089,"['114', '1118', '12260', '13799', '19870', '20137']",5,['4'],['14'],[],12260,[],4,1,None,6.0,6.0
test_capi.test_no_FatalError_infinite_loop crash on Windows,9116,None,2010-06-29.15:58:26,10080,2014-10-14.17:11:48,11089,"['93', '155', '328', '2040', '2377', '2529', '3951', '7047', '10080', '12602', '13902', '15467', '16632']",1,"['8', '12', '15']","['18', '19']",['5619'],None,['2'],4,1,None,13.0,22.0
ctypes: better support of bytearray objects,10803,4,2011-01-02.06:59:01,10736,2014-10-14.17:17:00,11089,"['66', '1076', '1427', '2040', '10736', '11255', '14751', '15623']",6,['22'],['19'],['22161'],None,"['2', '8']",4,1,None,8.0,6.0
memoryview bind (the opposite of release),19577,None,2013-11-14.00:39:17,18049,2014-10-14.17:20:49,11089,"['2040', '2377', '18049']",6,[],['19'],[],None,[],4,1,None,3.0,7.0
memoryview: add multi-dimensional indexing and slicing,14130,3,2012-02-26.12:20:55,11089,2014-10-14.17:31:14,11089,"['287', '1309', '1427', '2040', '8982', '10949', '11089', '18193']",6,['8'],['17'],[],None,[],4,1,None,8.0,9.0
datetime module should use int32_t for date/time components,9034,3,2010-06-20.01:44:15,1427,2014-10-15.13:46:18,1427,"['1118', '1427']",6,['5'],['19'],['17884'],None,[],5,1,None,2.0,2.0
AttributeError: NoneType has no attribute 'utf_8_decode',14847,None,2012-05-18.03:22:10,1290,2014-10-16.20:20:25,9705,"['1076', '1290', '9705', '15688']",None,['9'],['14'],[],None,[],4,1,None,4.0,9.0
unittest needs more flush calls,13236,2,2011-10-20.19:02:03,11313,2014-10-16.22:17:38,2040,"['2040', '3924', '7047', '9663', '11313', '17286']",5,['9'],"['14', '16']",[],None,[],4,1,None,6.0,6.0
Inconsistency between Python 2 and PyPy regarding future imports,22606,None,2014-10-10.20:48:45,12504,2014-10-18.01:28:33,155,"['37', '155', '4455', '12504']",5,[],['14'],[],None,[],4,1,None,4.0,2.0
Shared modules built with Modules/Setup are not found when run from build directory,17095,3,2013-01-31.21:54:56,14,2014-10-18.09:09:12,17286,"['8', '14', '2377', '2731', '5248', '9138', '13902', '17286', '18773']",None,['1'],"['18', '19']",[],5248,['2'],5,1,None,9.0,12.0
email's header_value_parser missing defect report for 'abc@xyz.c:om',22700,3,2014-10-22.17:27:18,9663,2014-10-22.17:27:18,9663,"['19', '9663']",None,['29'],"['18', '19']",[],None,[],4,1,None,2.0,1.0
target of 'import statement' entry in general index for 'i' is wrong,22714,None,2014-10-24.04:35:08,20323,2014-10-24.04:35:08,20323,"['12260', '20323']",6,['4'],"['14', '17', '19']",[],12260,[],4,1,None,2.0,1.0
Obscure error w/ windows online-only file,22720,None,2014-10-24.16:34:15,20333,2014-10-24.18:12:11,9663,"['3951', '9663', '15467', '16632', '20333']",6,['15'],['14'],[],None,[],4,1,None,5.0,2.0
"On FreeBSD, signal.NSIG is smaller than biggest signal value",20584,None,2014-02-10.17:36:38,10946,2014-10-25.16:16:19,2567,"['2040', '2377', '2567', '10946', '12146', '13642']",5,['9'],"['14', '18', '19']",[],None,['2'],4,1,None,6.0,10.0
inheritable pipes are unwieldy without os.pipe2,22722,None,2014-10-24.18:25:14,12829,2014-10-27.14:48:18,2377,"['2040', '2377', '9663', '12829']",None,[],[],[],None,[],4,1,None,4.0,6.0
Specify supported XML version,22743,None,2014-10-27.17:02:22,18024,2014-10-27.17:02:22,18024,"['12260', '18024']",6,['4'],[],[],12260,[],4,1,None,2.0,1.0
Python does not support the GEORGIAN-PS charset,19459,None,2013-10-31.10:52:59,18553,2014-10-28.14:29:49,4692,"['4', '8', '2377', '4692', '7047', '15623', '18553']",1,['14'],"['17', '18']",[],None,[],4,1,None,7.0,3.0
Add encodings of supported in glibc locales,22679,None,2014-10-20.16:49:37,15623,2014-10-29.05:00:57,9426,"['4', '8', '2377', '4692', '9426', '15623']",6,['9'],['19'],"['19459', '21081', '22681', '22682']",None,[],4,1,None,6.0,1.0
PyType_Ready doesn't ensure that all bases are ready,3453,3,2008-07-27.15:14:04,1633,2014-10-29.07:58:15,2040,"['925', '1076', '1427', '1633', '4455', '19865']",6,['8'],['19'],[],None,[],4,1,None,6.0,9.0
bdist_msi upload fails,13719,None,2012-01-06.13:18:38,3935,2014-10-30.20:09:43,2040,"['8', '3108', '3935', '4555', '7641', '12434', '13902', '17248', '20336']",5,"['3', '15']","['14', '18', '19']",[],None,['2'],4,1,None,9.0,20.0
object lifetime fragility in unittest tests,22764,None,2014-10-30.09:57:45,3924,2014-10-30.23:54:09,2040,"['2040', '3924']",5,[],['19'],[],None,['2'],4,1,None,2.0,9.0
"An OSError subclass for ""no space left on device"" would be nice: NoSpaceError",22678,4,2014-10-20.16:27:15,12826,2014-10-31.18:50:39,9138,"['19', '2040', '2377', '9138', '12826', '13754', '14751']",6,['8'],['19'],[],None,['2'],4,1,None,7.0,3.0
load_tests chaining into discover from non-discover entry point gets top_level_dir wrong,22763,2,2014-10-30.03:13:07,3924,2014-11-01.01:32:48,155,"['3924', '9663']",None,['12'],['19'],[],None,[],4,1,None,2.0,2.0
contextlib.closing documentation should use a new example,22755,None,2014-10-28.22:40:52,348,2014-11-01.07:08:57,114,"['114', '348', '12260', '14751', '18516']",None,['4'],"['18', '19', '20']",[],12260,[],4,1,None,5.0,4.0
test.test_pathlib.PosixPathTest.test_touch_common fails on FreeBSD with ZFS,19838,4,2013-11-30.08:44:09,12504,2014-11-01.16:05:31,19991,"['415', '2040', '2731', '7047', '12504', '14385', '16276', '16734', '19991']",5,['12'],['18'],[],None,['2'],4,1,None,9.0,36.0
Python 3.4.2 Windows installer - cannot install 32 bit then 64 bit version,22782,None,2014-11-01.18:09:38,301,2014-11-01.21:57:31,16632,"['8', '301', '3951', '15467', '16632']",5,['15'],['18'],[],None,[],4,1,None,5.0,2.0
"add an optional ""default"" argument to tokenize.detect_encoding",9771,4,2010-09-04.11:32:08,11184,2014-11-02.12:11:24,14674,"['2377', '4455', '7641', '11184', '14674', '15623']",6,['9'],['19'],[],None,['2'],4,1,None,6.0,3.0
Reorganize unittest.mock docs into linear manner,22344,3,2014-09-05.21:02:07,12289,2014-11-02.18:09:45,2040,"['3924', '7047', '9716', '12260', '12289']",6,['4'],"['18', '19']",[],12260,[],4,1,None,5.0,1.0
urllib2 localnet Changed test to lookup IP-address of localhost,22753,4,2014-10-28.14:47:08,20344,2014-11-03.11:58:35,20344,"['7047', '9663', '16734', '19991', '20344']",5,['12'],['19'],[],None,['2'],4,1,None,5.0,6.0
Custom order for the subcommands of build,7562,None,2009-12-22.14:35:12,11610,2014-11-05.22:10:12,19531,"['4', '4555', '7641', '11610', '11980', '19531']",6,['3'],[],[],4555,[],4,1,None,6.0,4.0
urljoin should raise a TypeError if URL is not a string,19094,4,2013-09-25.20:55:41,1290,2014-11-06.13:50:51,15623,"['1290', '1741', '14674', '15623', '17937']",5,['9'],"['14', '18', '19']",[],None,['2'],4,1,None,5.0,10.0
TestProgram loading fails when a script is used,22814,None,2014-11-07.10:17:40,3924,2014-11-07.10:17:40,3924,['3924'],5,['9'],['19'],[],None,[],4,1,None,1.0,1.0
unexpected successes are not output,22815,None,2014-11-07.10:21:48,3924,2014-11-07.10:21:48,3924,['3924'],5,['9'],['19'],[],None,[],4,1,None,1.0,1.0
document (lack of) interaction between @expectedException on a test_method and setUp,10548,None,2010-11-27.15:16:36,9716,2014-11-07.10:44:14,3924,"['1309', '3924', '9663', '9716', '10812']",5,['9'],"['14', '16']",[],9716,[],4,1,None,5.0,23.0
xmlapp.py display bug when validate XML by DTD,22750,None,2014-10-28.09:57:00,20341,2014-11-07.14:54:51,20341,['20341'],5,['16'],['14'],[],None,[],4,1,None,1.0,2.0
Compress the marshalled data in PYC files,22789,3,2014-11-04.05:00:45,114,2014-11-08.10:08:17,4,"['4', '6', '37', '93', '114', '2040', '2153', '3108', '9138', '15623']",6,['8'],['19'],[],None,[],4,1,None,10.0,13.0
pathlib: iterfiles() and iterdirs(),19767,4,2013-11-25.10:25:47,10826,2014-11-10.08:53:23,1962,"['1962', '2040', '2377', '9663', '10826']",6,['9'],['19'],[],None,['2'],4,1,None,5.0,6.0
