title,id,stage,creation,creator,activity,actor,nosy,type,components,versions,dependencies,assignee,keywords,priority,status,resolution,nosy_count,message_count
Multiple context expressions do not support parentheses for continuation across lines,12782,4,2011-08-19.02:10:17,13355,2019-07-04.05:06:43,31176,"['19', '93', '940', '1309', '4455', '7047', '7641', '9511', '9663', '12704', '13355', '15623', '21949', '22995', '26865', '27580', '30728', '31176']",6,['8'],['22'],[],26865,['2'],4,1,None,18.0,21.0
MainThread association logic is fragile,31517,3,2017-09-19.13:00:11,2040,2019-07-04.10:31:10,2377,"['6', '1309', '2040', '2377', '3182', '10303', '12260', '14000', '31341', '31649']",6,['4'],"['22', '23']",[],12260,[],4,1,None,10.0,10.0
IntEnum __format__ behavior can't be overridden through __str__,37479,4,2019-07-01.23:24:11,23940,2019-07-04.18:29:01,12590,"['2799', '12590', '23940']",5,['9'],['20'],[],12590,['2'],4,1,None,3.0,5.0
atexit module: allow getting/setting list of handlers directly,32082,None,2017-11-20.09:54:41,13967,2019-07-04.18:42:05,30156,"['13967', '30156']",5,['9'],[],[],None,[],4,1,None,2.0,2.0
subprocess.run timeout does not function if shell=True and capture_output=True,37424,None,2019-06-27.06:59:50,31646,2019-07-04.19:57:28,252,"['252', '14751', '28746', '31646']",5,['9'],['21'],[],252,[],4,1,None,4.0,5.0
"Smaller viewport shifts the ""expand left menu"" character into the text",24772,None,2015-08-01.09:48:31,10312,2019-07-05.03:44:14,10312,"['93', '10312', '12260', '29786']",None,['4'],[],[],12260,[],4,1,None,4.0,5.0
Remove duplicate tests in Lib/tests/re_tests.py,36528,4,2019-04-04.17:29:02,28746,2019-07-05.05:31:53,31004,"['7047', '8818', '15623', '28746', '31004']",5,"['11', '12']",['22'],[],None,['2'],4,1,None,5.0,2.0
socket.inet_aton parsing issue on some libc versions,37495,None,2019-07-03.21:54:34,31705,2019-07-05.13:06:01,2377,"['2377', '3108', '31341', '31705']",4,['9'],"['14', '19', '20', '21', '22', '23']",[],None,[],4,1,None,4.0,9.0
"""if 0: return"" not raising SyntaxError",1875,4,2008-01-19.18:55:49,43,2019-07-05.14:22:15,5248,"['1076', '1118', '2429', '2467', '4455', '5248', '9138', '9749', '15623', '17286', '26865', '27838']",5,['8'],"['21', '22']",[],1076,"['2', '8']",5,1,None,12.0,15.0
google thinks the docs are mobile unfriendly,23312,3,2015-01-24.17:42:05,4455,2019-07-05.14:29:01,5248,"['93', '4455', '7047', '9235', '10312', '12260', '14674', '15623', '23063']",6,['4'],['23'],[],12260,[],4,1,None,9.0,8.0
OSError preadv(),37509,None,2019-07-05.17:50:39,20697,2019-07-05.17:50:39,20697,"['2377', '20697', '26865']",5,[],['22'],[],None,[],4,1,None,3.0,1.0
Documentation fails to build when using Sphinx' texinfo builder,37504,4,2019-07-05.09:49:15,169,2019-07-05.19:39:39,15683,"['169', '10753', '12260', '15683', '23063']",None,['4'],['22'],[],12260,['2'],4,1,None,5.0,2.0
